symbol,name,base,htf,entry_thr,exit_mode,exit_thr,htf_m_min,sl_atr,tp_atr,trail_atr,be_at_r,sides,session,n,ret,pf,wr,dd,sharpe,avg_bars,final,score
US30,1h+1d_e15_zero_hm25_s2.0_t4.0_long,1h,1d,15.0,zero,0.0,25.0,2.0,4.0,0.0,0.0,long,all,639,8.351514390973414,1.0425429898823557,46.478873239436616,-18.592523185462404,0.1969194215406177,1.9029733959311423,108351.51439097342,-16.707903744762746
US30,1h+1d_e15_hard_hm0_s1.5_t2.5_both,1h,1d,15.0,hard,0.0,0.0,1.5,2.5,0.0,0.0,both,all,1043,-32.00798385267392,0.9272626110171236,36.720997123681684,-50.77525578669879,-0.325380103839607,8.417066155321189,67992.01614732608,-20.68124321379151
US30,1h+1d_e15_hard_hm0_s1.5_t2.5_long,1h,1d,15.0,hard,0.0,0.0,1.5,2.5,0.0,0.0,long,all,728,-27.833898504091927,0.9205024629581643,36.12637362637363,-44.871450987648785,-0.34244484140657844,7.373626373626373,72166.10149590808,-20.320625084384083
US30,1h+1d_e15_hard_hm0_s1.5_t3.5_both,1h,1d,15.0,hard,0.0,0.0,1.5,3.5,0.0,0.0,both,all,901,-18.91237780452767,0.959230684549919,30.18867924528302,-43.3291266141869,-0.1205297477086214,11.410654827968923,81087.62219547233,-19.47237808693672
US30,1h+1d_e15_hard_hm0_s1.5_t3.5_long,1h,1d,15.0,hard,0.0,0.0,1.5,3.5,0.0,0.0,long,all,625,-24.9889476351576,0.9293625268842932,28.96,-38.6039403486644,-0.2691362898847505,10.1872,75011.0523648424,-19.824013636969273
US30,1h+1d_e15_hard_hm0_s2.0_t4.0_both,1h,1d,15.0,hard,0.0,0.0,2.0,4.0,0.0,0.0,both,all,752,-21.422434527750767,0.9462832509243442,33.244680851063826,-33.74231285883557,-0.18432420012012557,16.03191489361702,78577.56547224923,-19.317368068332783
US30,1h+1d_e15_hard_hm0_s2.0_t4.0_long,1h,1d,15.0,hard,0.0,0.0,2.0,4.0,0.0,0.0,long,all,525,-7.873793114533245,0.9756596385627809,33.142857142857146,-22.283609701140183,-0.03822602741622636,14.584761904761905,92126.20688546676,-18.024486057344326
US30,1h+1d_e15_hard_hm12_s1.5_t2.5_both,1h,1d,15.0,hard,0.0,12.0,1.5,2.5,0.0,0.0,both,all,793,-34.12779606013166,0.9034573142292276,35.81336696090794,-50.17225880235298,-0.4252087401292891,8.361916771752837,65872.20393986834,-20.95117201912025
US30,1h+1d_e15_hard_hm12_s1.5_t2.5_long,1h,1d,15.0,hard,0.0,12.0,1.5,2.5,0.0,0.0,long,all,572,-23.920148559840893,0.919432725072362,36.01398601398601,-38.07383023049288,-0.32798639166167104,7.379370629370629,76079.85144015911,-19.873156926424954
US30,1h+1d_e15_hard_hm12_s1.5_t3.5_both,1h,1d,15.0,hard,0.0,12.0,1.5,3.5,0.0,0.0,both,all,690,-25.88265824954654,0.9292847660979364,29.130434782608695,-42.682302520530214,-0.25092485315540874,11.365217391304348,74117.34175045346,-19.995773795291342
US30,1h+1d_e15_hard_hm12_s1.5_t3.5_long,1h,1d,15.0,hard,0.0,12.0,1.5,3.5,0.0,0.0,long,all,494,-17.816714717276017,0.9407371318131293,29.149797570850204,-27.924699911903637,-0.2017395289186661,10.131578947368421,82183.28528272398,-18.980423049012362
US30,1h+1d_e15_hard_hm12_s2.0_t4.0_both,1h,1d,15.0,hard,0.0,12.0,2.0,4.0,0.0,0.0,both,all,577,-19.108806366607634,0.937944957621019,32.755632582322356,-36.12434072277364,-0.19696966077017614,16.298093587521663,80891.19363339237,-19.359917980677967
US30,1h+1d_e15_hard_hm12_s2.0_t4.0_long,1h,1d,15.0,hard,0.0,12.0,2.0,4.0,0.0,0.0,long,all,416,9.202526701572289,1.0342630598597191,34.375,-19.556413010173035,0.18759694771903404,14.701923076923077,109202.52670157228,-16.747102381116182
US30,1h+1d_e15_hard_hm25_s1.5_t2.5_both,1h,1d,15.0,hard,0.0,25.0,1.5,2.5,0.0,0.0,both,all,601,-40.051671386280404,0.8505698809952443,34.6089850249584,-51.09467804062324,-0.6005927108150192,8.389351081530782,59948.3286137196,-21.620318340810563
US30,1h+1d_e15_hard_hm25_s1.5_t2.5_long,1h,1d,15.0,hard,0.0,25.0,1.5,2.5,0.0,0.0,long,all,436,-27.040219447567782,0.8784441374062377,35.091743119266056,-38.07963458601665,-0.418118055839978,7.435779816513762,72959.78055243222,-20.23586090158775
US30,1h+1d_e15_hard_hm25_s1.5_t3.5_both,1h,1d,15.0,hard,0.0,25.0,1.5,3.5,0.0,0.0,both,all,535,-19.58242318008878,0.9351997407300383,29.1588785046729,-39.69261673233112,-0.17865969417680883,11.067289719626169,80417.57681991122,-19.500991785936915
US30,1h+1d_e15_hard_hm25_s1.5_t3.5_long,1h,1d,15.0,hard,0.0,25.0,1.5,3.5,0.0,0.0,long,all,389,-15.423763761787034,0.935704105726973,29.04884318766067,-29.12386398383878,-0.16675027007536866,9.794344473007712,84576.23623821296,-18.914770250620652
