side,entry_time,exit_time,entry,exit,reason,pnl,bars,set,side_s
1,2021-03-31 07:40:00,2021-03-31 07:45:00,33071.2,33060.05714285714,sl,-338.97076211508795,1,A_5m_30m_1h,long
-1,2021-03-31 11:45:00,2021-03-31 11:50:00,33000.3,33018.889285714286,sl,-335.5810544939371,1,A_5m_30m_1h,short
-1,2021-03-31 12:35:00,2021-03-31 14:45:00,33020.8,33040.78214285715,sl,-332.22524394899773,26,A_5m_30m_1h,short
1,2021-03-31 15:30:00,2021-03-31 16:30:00,33038.7,33067.271428571425,tp,548.1716525158928,12,A_5m_30m_1h,long
1,2021-03-31 17:45:00,2021-03-31 20:10:00,33057.2,33132.28928571428,tp,557.3078467244084,29,A_5m_30m_1h,long
1,2021-03-31 20:35:00,2021-03-31 20:40:00,33131.2,33110.09285714285,sl,-339.95778650191073,1,A_5m_30m_1h,long
1,2021-03-31 20:55:00,2021-03-31 21:10:00,33130.2,33109.30714285714,sl,-336.55820863689155,3,A_5m_30m_1h,long
1,2021-03-31 21:35:00,2021-03-31 21:40:00,33118.7,33094.05714285714,sl,-333.1926265505227,1,A_5m_30m_1h,long
1,2021-03-31 22:05:00,2021-03-31 22:35:00,33101.2,33067.71785714285,sl,-329.86070028501746,6,A_5m_30m_1h,long
-1,2021-04-01 01:30:00,2021-04-01 03:35:00,33031.8,33049.05,sl,-326.56209328216727,25,A_5m_30m_1h,short
-1,2021-04-01 05:25:00,2021-04-01 05:50:00,33017.8,32991.014285714286,tp,538.8274539156736,5,A_5m_30m_1h,short
-1,2021-04-01 06:35:00,2021-04-01 07:35:00,32974.3,32992.08571428572,sl,-328.68474688850233,12,A_5m_30m_1h,short
-1,2021-04-01 07:50:00,2021-04-01 07:55:00,32978.3,32988.58571428572,sl,-325.3978994196173,1,A_5m_30m_1h,short
-1,2021-04-01 08:15:00,2021-04-01 08:20:00,32985.8,32998.228571428575,sl,-322.14392042542113,1,A_5m_30m_1h,short
-1,2021-04-01 08:35:00,2021-04-01 08:40:00,32991.8,33005.78214285715,sl,-318.92248122116695,1,A_5m_30m_1h,short
-1,2021-04-01 09:30:00,2021-04-01 09:35:00,33007.3,33023.103571428575,sl,-315.73325640895524,1,A_5m_30m_1h,short
1,2021-04-01 12:55:00,2021-04-01 13:05:00,33054.7,33038.41428571428,sl,-312.5759238448657,2,A_5m_30m_1h,long
1,2021-04-01 20:25:00,2021-04-01 22:10:00,33140.2,33122.521428571425,sl,-309.45016460641705,21,A_5m_30m_1h,long
1,2021-04-02 01:35:00,2021-04-02 04:40:00,33153.2,33139.21785714285,sl,-306.35566296035284,37,A_5m_30m_1h,long
1,2021-04-02 10:20:00,2021-04-02 10:25:00,33197.7,33189.55714285714,sl,-303.29210633074933,1,A_5m_30m_1h,long
1,2021-04-02 11:25:00,2021-04-02 11:55:00,33174.7,33187.37857142857,tp,500.4319754456407,6,A_5m_30m_1h,long
1,2021-04-02 12:40:00,2021-04-02 13:45:00,33183.7,33197.360714285714,tp,508.77250837001105,13,A_5m_30m_1h,long
1,2021-04-02 15:25:00,2021-04-02 15:30:00,33210.7,33199.87857142857,sl,-310.3512301055984,1,A_5m_30m_1h,long
1,2021-04-05 01:50:00,2021-04-05 02:30:00,33281.7,33328.30714285714,tp,512.0795296743172,8,A_5m_30m_1h,long
1,2021-04-05 03:35:00,2021-04-05 08:55:00,33359.7,33338.7,sl,-312.36851310128554,64,A_5m_30m_1h,long
1,2021-04-05 11:35:00,2021-04-05 11:55:00,33352.2,33339.985714285714,sl,-309.2448279702727,4,A_5m_30m_1h,long
1,2021-04-05 12:30:00,2021-04-05 13:20:00,33342.7,33363.50357142857,tp,510.2539661508904,10,A_5m_30m_1h,long
1,2021-04-05 15:05:00,2021-04-05 15:25:00,33370.2,33392.610714285714,tp,518.7581989202437,4,A_5m_30m_1h,long
1,2021-04-05 16:25:00,2021-04-05 16:30:00,33394.7,33419.87857142857,tp,527.4041689020847,1,A_5m_30m_1h,long
1,2021-04-05 17:00:00,2021-04-05 17:20:00,33439.2,33496.25357142857,tp,536.1942383838142,4,A_5m_30m_1h,long
1,2021-04-05 18:05:00,2021-04-05 19:30:00,33519.7,33592.110714285714,tp,545.1308090236037,17,A_5m_30m_1h,long
1,2021-04-05 20:35:00,2021-04-05 20:40:00,33548.2,33517.66428571428,sl,-332.5297935043763,1,A_5m_30m_1h,long
1,2021-04-05 20:50:00,2021-04-05 22:00:00,33532.2,33502.360714285714,sl,-329.2044955693325,14,A_5m_30m_1h,long
1,2021-04-05 22:20:00,2021-04-05 22:25:00,33544.2,33515.59285714285,sl,-325.9124506136392,1,A_5m_30m_1h,long
1,2021-04-06 01:35:00,2021-04-06 01:45:00,33532.2,33554.075,tp,537.7555435125046,2,A_5m_30m_1h,long
1,2021-04-06 09:30:00,2021-04-06 09:45:00,33457.7,33484.396428571425,tp,546.7181359044293,3,A_5m_30m_1h,long
