side,horizon,n,hit_rate,mean_ret,median_ret,mean_mfe,mean_mae,mfe_mae_ratio,p25,p75,symbol,set,ltf
long,1,4374,49.65706447187929,0.0010377931516464365,0.0,0.050537273994708275,0.04865424202797281,1.0387023184053068,-0.028281328107476154,0.028833083795054837,US30,B_15m_1h_4h,15min
long,2,4374,49.10836762688614,0.0003788097265275734,0.0,0.07087181263087816,0.0702935841989346,1.0082259062264793,-0.04014018490793308,0.0394261356080289,US30,B_15m_1h_4h,15min
long,3,4374,49.72565157750343,0.0026521926181000133,0.0,0.08773774506936538,0.08674596732417326,1.0114331279687712,-0.047936421932397576,0.048634184486476405,US30,B_15m_1h_4h,15min
long,5,4374,50.0,0.0044109523971413815,0.00011860567172149587,0.11487474824700891,0.11451438722085273,1.0031468624589606,-0.0630750437876193,0.06811856846408124,US30,B_15m_1h_4h,15min
long,8,4374,50.617283950617285,0.007243987924040115,0.001347926440124258,0.14615896092376682,0.14462316026050212,1.0106193272260013,-0.07623604861617297,0.08984445343715798,US30,B_15m_1h_4h,15min
long,10,4374,51.028806584362144,0.006771577556018176,0.002074862330239612,0.16234119061465985,0.16318094701585215,0.9948538330206484,-0.09069561409448612,0.1004410255360008,US30,B_15m_1h_4h,15min
long,15,4374,51.23456790123457,0.008676405552606481,0.0034769605335750577,0.19999013691750422,0.2022831267592155,0.9886644532421099,-0.11170282574750559,0.12986373257789302,US30,B_15m_1h_4h,15min
long,20,4374,51.028806584362144,0.01335890966243768,0.004987945681438289,0.2360031901387642,0.2381650497113625,0.990922851294855,-0.12583453591549815,0.16206334879580422,US30,B_15m_1h_4h,15min
short,1,2709,48.09892949427833,0.0002006188545242082,0.0,0.0767380554739676,0.07601703470657738,1.0094849893865676,-0.04536870580095615,0.04181897032401957,US30,B_15m_1h_4h,15min
short,2,2709,48.837209302325576,-0.0029078699882754385,0.0,0.10843937810669817,0.10940088503374168,0.9912111595189841,-0.0634046484665133,0.05962543302970738,US30,B_15m_1h_4h,15min
short,3,2709,48.72646733111849,-0.005483576724915926,0.0,0.13392308991155535,0.1338168964721938,1.0007935727263233,-0.08345331224542109,0.07124329260591773,US30,B_15m_1h_4h,15min
short,5,2709,47.80361757105943,-0.009802293321889704,-0.0011918098824875456,0.17178379493355408,0.17459444524832504,0.9839018342721421,-0.11142932053323995,0.09248955879590155,US30,B_15m_1h_4h,15min
short,8,2709,46.733111849390916,-0.008334533043196342,-0.007732564613309909,0.22238226470359715,0.22268390147462164,0.9986454486874577,-0.1410165397303708,0.11962896616033963,US30,B_15m_1h_4h,15min
short,10,2709,46.99150978220746,-0.011136286188238935,-0.008871015435566858,0.24802349304788773,0.24907922840042276,0.995761447635297,-0.1665011869593819,0.13715017642225777,US30,B_15m_1h_4h,15min
