side,entry_time,exit_time,entry,exit,reason,pnl,bars,set,side_s
1,2022-12-30 18:00:00,2023-01-03 09:30:00,1.0672899999999998,1.0643232142857142,sl,-668.1537406918331,65,C_30m_4h_1d,long
-1,2023-01-03 19:00:00,2023-01-04 09:00:00,1.05576,1.058595,sl,-661.4722032849147,28,C_30m_4h_1d,short
1,2023-01-05 05:00:00,2023-01-05 06:30:00,1.0617999999999999,1.060380357142857,sl,-654.8574812520656,3,C_30m_4h_1d,long
1,2023-01-05 08:00:00,2023-01-05 09:30:00,1.06113,1.0597478571428571,sl,-648.3089064395449,3,C_30m_4h_1d,long
1,2023-01-05 14:00:00,2023-01-05 15:00:00,1.06117,1.059319642857143,sl,-641.8258173751494,2,C_30m_4h_1d,long
-1,2023-01-05 23:00:00,2023-01-06 14:00:00,1.05204,1.04844,tp,1059.0125986690402,30,C_30m_4h_1d,short
1,2023-01-09 02:00:00,2023-01-09 08:00:00,1.06629,1.0684042857142857,tp,1076.6628086468515,12,C_30m_4h_1d,long
1,2023-01-09 08:30:00,2023-01-09 11:30:00,1.0679999999999998,1.066578214285714,sl,-656.7643132745568,6,C_30m_4h_1d,long
1,2023-01-09 13:30:00,2023-01-09 15:00:00,1.06847,1.0717842857142859,tp,1083.6611169030427,3,C_30m_4h_1d,long
1,2023-01-10 10:00:00,2023-01-10 14:30:00,1.07324,1.0718299999999998,sl,-661.0332813108415,9,C_30m_4h_1d,long
1,2023-01-10 16:30:00,2023-01-10 17:30:00,1.0745,1.0724717857142858,sl,-654.4229484977332,2,C_30m_4h_1d,long
1,2023-01-11 01:30:00,2023-01-11 09:00:00,1.07364,1.0756882142857143,tp,1079.7978650212206,15,C_30m_4h_1d,long
1,2023-01-11 11:30:00,2023-01-11 14:00:00,1.07472,1.0731257142857142,sl,-658.6766976629681,5,C_30m_4h_1d,long
1,2023-01-11 15:00:00,2023-01-11 16:30:00,1.07413,1.0772175,tp,1086.8165511438453,3,C_30m_4h_1d,long
1,2023-01-11 21:00:00,2023-01-12 15:00:00,1.0753899999999998,1.0795132142857142,tp,1104.9301603296483,36,C_30m_4h_1d,long
1,2023-01-13 01:30:00,2023-01-13 04:00:00,1.08585,1.0839975,sl,-674.0073978010734,5,C_30m_4h_1d,long
