side,horizon_5m,n,hit_pct,mean_ret,median_ret,mean_mfe,mean_mae,first_close_favor_pct,first_close_adverse_pct,symbol,panel,min_agree,n_agents
any,10,4522,47.501105705440075,-0.002792428362563145,-0.0025897215344445603,0.05920304164666048,0.06153165046587529,47.63379035824856,52.36620964175144,EURUSD,abc_plus_dvmr_mv,2,7
long,15,2716,49.22680412371135,-0.002145048192687466,-0.0009031364627546713,0.07480255479970215,0.07653167535821485,48.564064801178205,51.435935198821795,EURUSD,abc_plus_dvmr_mv,2,7
short,15,1806,43.85382059800664,-0.007880900288152406,-0.00987353750678176,0.07021014913534859,0.07502352191587393,46.23477297895903,53.76522702104097,EURUSD,abc_plus_dvmr_mv,2,7
any,15,4522,47.080937638213186,-0.004435837419668819,-0.004568494034226118,0.07296843612879933,0.07592934782241925,47.63379035824856,52.36620964175144,EURUSD,abc_plus_dvmr_mv,2,7
long,20,2716,49.005891016200295,-0.0031368397075108062,-0.0009538572406293056,0.08615059676117959,0.08973266064438419,48.564064801178205,51.435935198821795,EURUSD,abc_plus_dvmr_mv,2,7
short,20,1806,44.905869324473976,-0.007136210862639522,-0.008682885946173325,0.08088755690186394,0.08617706820932897,46.23477297895903,53.76522702104097,EURUSD,abc_plus_dvmr_mv,2,7
any,20,4522,47.368421052631575,-0.0047341117787541645,-0.004324876287227421,0.08404863966566344,0.08831262527558505,47.63379035824856,52.36620964175144,EURUSD,abc_plus_dvmr_mv,2,7
long,1,909,45.54455445544555,-0.00044157872824430983,-0.0009225517782245964,0.021805513875322962,0.022326229129377456,45.54455445544554,51.92519251925192,EURUSD,abc_plus_dvmr_mv,3,7
short,1,42,57.14285714285714,0.007824302131666551,0.003543497391916975,0.024494107325935034,0.01426312184761049,57.142857142857146,40.476190476190474,EURUSD,abc_plus_dvmr_mv,3,7
any,1,951,46.05678233438486,-7.652405304319953e-05,-0.0009185266832061644,0.021924253018252203,0.021970129754157464,46.056782334384856,51.41955835962145,EURUSD,abc_plus_dvmr_mv,3,7
long,2,909,47.85478547854785,-0.001295747346246074,-0.000821969603569445,0.031150466837869532,0.03232269560468245,46.754675467546754,53.02530253025302,EURUSD,abc_plus_dvmr_mv,3,7
short,2,42,61.904761904761905,0.015667143748399715,0.0072023774882208425,0.036187081930144666,0.0177549318024764,57.142857142857146,42.857142857142854,EURUSD,abc_plus_dvmr_mv,3,7
any,2,951,48.47528916929548,-0.0005465975818137671,0.0,0.03137290409746528,0.03167932433266073,47.213459516298634,52.576235541535226,EURUSD,abc_plus_dvmr_mv,3,7
long,3,909,47.634763476347636,-0.0031842499937218102,-0.0008899409968979743,0.03679136240625626,0.0392513916388773,46.864686468646866,53.135313531353134,EURUSD,abc_plus_dvmr_mv,3,7
short,3,42,57.14285714285714,0.014669681313868945,0.00895356525962375,0.04252849483614479,0.019911383334304596,57.142857142857146,42.857142857142854,EURUSD,abc_plus_dvmr_mv,3,7
any,3,951,48.0546792849632,-0.002395748295594774,-0.0008571918395393033,0.037044737340068384,0.03839725878000027,47.3186119873817,52.6813880126183,EURUSD,abc_plus_dvmr_mv,3,7
long,5,909,48.294829482948295,-0.0029174032163312704,-0.0009061910975845939,0.04824195746777736,0.05056150452528558,46.864686468646866,53.135313531353134,EURUSD,abc_plus_dvmr_mv,3,7
short,5,42,57.14285714285714,0.01530219616657711,0.007983447972426838,0.048731748132132366,0.02757355508955546,57.142857142857146,42.857142857142854,EURUSD,abc_plus_dvmr_mv,3,7
any,5,951,48.68559411146162,-0.002112752139483583,-0.0008576770674361898,0.048263588601218904,0.04954626385619971,47.3186119873817,52.6813880126183,EURUSD,abc_plus_dvmr_mv,3,7
