side,H,n,hit,mean,med,symbol,agent
any,10,590,51.01694915254237,-0.004130795954635934,0.0029651735720750945,US30,mv_best_quality_30m_4h_long
long,20,590,53.050847457627114,0.0010436732532189564,0.008478231535544497,US30,mv_best_quality_30m_4h_long
any,20,590,53.050847457627114,0.0010436732532189564,0.008478231535544497,US30,mv_best_quality_30m_4h_long
long,5,1048,50.0,0.002997975569760002,0.00042033290366377623,US30,mv_strong4_30m_4h_long
any,5,1048,50.0,0.002997975569760002,0.00042033290366377623,US30,mv_strong4_30m_4h_long
long,10,1048,53.53053435114504,0.007455444814772449,0.008810635299535036,US30,mv_strong4_30m_4h_long
any,10,1048,53.53053435114504,0.007455444814772449,0.008810635299535036,US30,mv_strong4_30m_4h_long
long,20,1048,52.48091603053435,0.004998444273174524,0.010193654253975962,US30,mv_strong4_30m_4h_long
any,20,1048,52.48091603053435,0.004998444273174524,0.010193654253975962,US30,mv_strong4_30m_4h_long
long,5,875,48.45714285714286,-0.0018110247346614244,0.0,US30,mv_profit_30m_4h_both
short,5,633,46.12954186413902,-0.00563954224824172,-0.0045109661587318765,US30,mv_profit_30m_4h_both
any,5,1508,47.48010610079575,-0.0034180881206669466,-0.0014383822336721326,US30,mv_profit_30m_4h_both
long,10,875,50.857142857142854,-0.0013060294260001967,0.002832517757053819,US30,mv_profit_30m_4h_both
short,10,633,47.077409162717224,-0.007792653679791021,-0.006163613110005085,US30,mv_profit_30m_4h_both
any,10,1508,49.270557029177716,-0.004028863081603376,0.0,US30,mv_profit_30m_4h_both
long,20,875,53.142857142857146,0.0032636279511296957,0.008261049153242462,US30,mv_profit_30m_4h_both
short,20,633,48.49921011058452,-0.01452503113434599,0.0,US30,mv_profit_30m_4h_both
any,20,1508,51.19363395225464,-0.004203362235280192,0.0026240038189741686,US30,mv_profit_30m_4h_both
long,5,1813,63.485934914506345,0.03374917130058374,0.015345900432217285,US30,agree_seA_r2A
short,5,1595,60.81504702194357,0.03206827476212318,0.011832709157925253,US30,agree_seA_r2A
any,5,3408,62.23591549295775,0.032962484100218535,0.013790890759421717,US30,agree_seA_r2A
long,10,1813,60.121345835631544,0.03807414996349368,0.01666681547753647,US30,agree_seA_r2A
