side,horizon_m1,n,hit_pct,mean_ret,median_ret,mean_mfe,mean_mae,first_close_favor_pct,first_close_adverse_pct,symbol,panel,min_agree,n_agents
any,10,3600,55.02777777777778,0.005428728047784824,0.003533054336212111,0.030719645647380563,0.024266897845203278,53.361111111111114,46.638888888888886,EURUSD,abc_plus_research_longOnly,2,10
long,20,3600,55.69444444444444,0.007890911897413144,0.005125532905069063,0.04422831138101292,0.03447613616834241,53.361111111111114,46.638888888888886,EURUSD,abc_plus_research_longOnly,2,10
any,20,3600,55.69444444444444,0.007890911897413144,0.005125532905069063,0.04422831138101292,0.03447613616834241,53.361111111111114,46.638888888888886,EURUSD,abc_plus_research_longOnly,2,10
long,30,3600,55.611111111111114,0.008138893429099445,0.0055173958325008205,0.05341582219739955,0.041923824225459046,53.361111111111114,46.638888888888886,EURUSD,abc_plus_research_longOnly,2,10
any,30,3600,55.611111111111114,0.008138893429099445,0.0055173958325008205,0.05341582219739955,0.041923824225459046,53.361111111111114,46.638888888888886,EURUSD,abc_plus_research_longOnly,2,10
long,60,3600,54.05555555555556,0.010382852791207323,0.006552328093209945,0.07377788672478065,0.060173568537058,53.361111111111114,46.638888888888886,EURUSD,abc_plus_research_longOnly,2,10
any,60,3600,54.05555555555556,0.010382852791207323,0.006552328093209945,0.07377788672478065,0.060173568537058,53.361111111111114,46.638888888888886,EURUSD,abc_plus_research_longOnly,2,10
long,5,1553,56.53573728267869,0.0065110720524806705,0.0036434186196945,0.024663520601131257,0.017510386300113458,54.47520927237605,45.52479072762395,EURUSD,abc_plus_research_longOnly,3,10
any,5,1553,56.53573728267869,0.0065110720524806705,0.0036434186196945,0.024663520601131257,0.017510386300113458,54.47520927237605,45.52479072762395,EURUSD,abc_plus_research_longOnly,3,10
long,10,1553,59.36896329684481,0.008686282072582267,0.005515821213843699,0.03617803744165195,0.02506920724654669,54.47520927237605,45.52479072762395,EURUSD,abc_plus_research_longOnly,3,10
any,10,1553,59.36896329684481,0.008686282072582267,0.005515821213843699,0.03617803744165195,0.02506920724654669,54.47520927237605,45.52479072762395,EURUSD,abc_plus_research_longOnly,3,10
long,20,1553,59.30457179652285,0.011567635301877512,0.00807689201195067,0.05034617626707791,0.03431945095117672,54.47520927237605,45.52479072762395,EURUSD,abc_plus_research_longOnly,3,10
any,20,1553,59.30457179652285,0.011567635301877512,0.00807689201195067,0.05034617626707791,0.03431945095117672,54.47520927237605,45.52479072762395,EURUSD,abc_plus_research_longOnly,3,10
long,30,1553,59.755312298776566,0.013331556060908762,0.00988126019004117,0.06088605027747973,0.04183571531504935,54.47520927237605,45.52479072762395,EURUSD,abc_plus_research_longOnly,3,10
any,30,1553,59.755312298776566,0.013331556060908762,0.00988126019004117,0.06088605027747973,0.04183571531504935,54.47520927237605,45.52479072762395,EURUSD,abc_plus_research_longOnly,3,10
long,60,1553,55.505473277527365,0.011286346395707967,0.008198363970916165,0.0811879228354281,0.06188879587112177,54.47520927237605,45.52479072762395,EURUSD,abc_plus_research_longOnly,3,10
any,60,1553,55.505473277527365,0.011286346395707967,0.008198363970916165,0.0811879228354281,0.06188879587112177,54.47520927237605,45.52479072762395,EURUSD,abc_plus_research_longOnly,3,10
long,5,186,63.44086021505376,0.0079829089114288,0.005482716795856758,0.02405398811699612,0.01530811123770204,58.60215053763441,41.39784946236559,EURUSD,abc_plus_research_longOnly,4,10
any,5,186,63.44086021505376,0.0079829089114288,0.005482716795856758,0.02405398811699612,0.01530811123770204,58.60215053763441,41.39784946236559,EURUSD,abc_plus_research_longOnly,4,10
